tick,seconds,player,side,status,metal,energy,maxMetal,maxEnergy,metalIncome,energyIncome,metalDemand,energyDemand,units,buildings,army,builders,unitsLost,buildingsLost,idleBuilders,factories,idleFactories,armyMetal,metalProduced,metalExcess,energyProduced,energyExcess,phase
0,0,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,0.0,0.0,0.0,0.0,mid
0,0,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,0.0,0.0,0.0,0.0,mid
300,30,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,3000.0,0.0,30000.0,0.0,mid
300,30,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,3000.0,0.0,30000.0,0.0,mid
600,60,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,6000.0,0.0,60000.0,0.0,mid
600,60,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,6000.0,0.0,60000.0,0.0,mid
900,90,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,9000.0,0.0,90000.0,0.0,mid
900,90,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,9000.0,0.0,90000.0,0.0,mid
1200,120,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,12000.0,0.0,120000.0,0.0,mid
1200,120,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,12000.0,0.0,120000.0,0.0,mid
1500,150,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,15000.0,0.0,150000.0,0.0,mid
1500,150,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,15000.0,0.0,150000.0,0.0,mid
1800,180,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,18000.0,0.0,180000.0,0.0,mid
1800,180,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,18000.0,0.0,180000.0,0.0,mid
2100,210,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,21000.0,0.0,210000.0,0.0,mid
2100,210,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,21000.0,0.0,210000.0,0.0,mid
2400,240,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,24000.0,0.0,240000.0,0.0,mid
2400,240,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,24000.0,0.0,240000.0,0.0,mid
2700,270,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,27000.0,0.0,270000.0,0.0,mid
2700,270,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,27000.0,0.0,270000.0,0.0,mid
3000,300,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,8,5,4,0,0,0,0,2,0,100.0,30000.0,0.0,300000.0,0.0,mid
3000,300,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,8,5,4,0,0,0,0,2,0,100.0,30000.0,0.0,300000.0,0.0,mid
3300,330,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,8,5,4,0,0,0,0,2,0,100.0,33000.0,0.0,330000.0,0.0,mid
3300,330,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,8,5,4,0,0,0,0,2,0,100.0,33000.0,0.0,330000.0,0.0,mid
3600,360,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,8,5,4,0,0,0,0,2,0,100.0,36000.0,0.0,360000.0,0.0,mid
3600,360,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,8,5,4,0,0,0,0,2,0,100.0,36000.0,0.0,360000.0,0.0,mid
3900,390,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,8,5,4,0,0,0,0,2,0,100.0,39000.0,0.0,390000.0,0.0,mid
3900,390,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,8,5,4,0,0,0,0,2,0,100.0,39000.0,0.0,390000.0,0.0,mid
4200,420,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,42000.0,0.0,420000.0,0.0,mid
4200,420,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,42000.0,0.0,420000.0,0.0,mid
4500,450,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,45000.0,0.0,450000.0,0.0,mid
4500,450,1,CORE,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,45000.0,0.0,450000.0,0.0,mid
4800,480,0,ARM,alive,500.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,2,0,100.0,48000.0,0.0,480000.0,0.0,mid
