tick,seconds,player,side,status,metal,energy,maxMetal,maxEnergy,metalIncome,energyIncome,metalDemand,energyDemand,units,buildings,army,builders,unitsLost,buildingsLost,idleBuilders,factories,idleFactories,armyMetal,metalProduced,metalExcess,energyProduced,energyExcess,phase
0,0,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,0.0,0.0,0.0,0.0,early
0,0,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,0.0,0.0,0.0,0.0,mid
100,10,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,20.0,0.0,1000.0,50.0,early
100,10,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,21.0,0.0,1000.0,50.0,mid
200,20,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,40.0,0.0,2000.0,100.0,early
200,20,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,42.0,0.0,2000.0,100.0,mid
300,30,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,60.0,0.0,3000.0,150.0,early
300,30,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,63.0,0.0,3000.0,150.0,mid
400,40,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,80.0,0.0,4000.0,200.0,early
400,40,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,84.0,0.0,4000.0,200.0,mid
500,50,0,ARM,alive,300.0,3000.0,1000.0,5000.0,2.0,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,100.0,0.0,5000.0,250.0,early
500,50,1,CORE,alive,350.0,3000.0,1000.0,5000.0,2.1,50.0,1.0,10.0,10,5,4,2,0,0,0,1,0,100.0,105.0,0.0,5000.0,250.0,mid
